id,category,percent
dhje0n,92,73.0560869739686
dhj7m7,45,30.66684680709991
dhj7m7,51,39.2636701084578
dhj7m7,54,30.069483084442282
dhj77c,6,65.77143186622006
dhj77c,123,34.22856813377995
dhj7xj,64,100.0
dhj7x7,67,54.48751078242101
dhj7x7,77,45.51248921757899
dhje3c,80,100.0
dhj6uk,114,100.0
dhj7j2,112,31.0773153545024
dhj7j2,113,68.9226846454976
dhj7sf,12,71.48576193324983
dhj7sf,17,28.514238066750153
dhj776,3,100.0
dhj7m4,44,51.967062696535585
dhj7m4,45,48.03293730346442
dhj7jt,103,38.570500727201974
dhj7jt,104,61.429499272798026
dhj7k7,121,38.28154981650342
dhj7k7,122,61.71845018349658
